feature,base_rmse,ablated_rmse,rmse_change,base_r2,ablated_r2,r2_change
main_genre_Family,1.3732689722681009,1.3754687599976552,0.0021997877295543145,0.34414458112675705,0.34204171814871687,-0.0021028629780401875
original_language_ur,1.3732689722681009,1.3753313444210675,0.002062372152966674,0.34414458112675705,0.3421731776233774,-0.001971403503379654
original_language_fi,1.3732689722681009,1.375329877152955,0.002060904884854109,0.34414458112675705,0.34217458122376665,-0.0019699999029904047
main_genre_Adventure,1.3732689722681009,1.3752989528445763,0.0020299805764754097,0.34414458112675705,0.34220416331566106,-0.0019404178110959958
original_language_ro,1.3732689722681009,1.375219015976653,0.0019500437085522293,0.34414458112675705,0.3422806275792103,-0.0018639535475467595
original_language_tl,1.3732689722681009,1.3752026889128817,0.001933716644780814,0.34414458112675705,0.34229624481874266,-0.0018483363080143977
original_language_de,1.3732689722681009,1.3751919761934561,0.001923003925355271,0.34414458112675705,0.3423064916985781,-0.0018380894281789795
main_genre_Action,1.3732689722681009,1.375161938000148,0.0018929657320472248,0.34414458112675705,0.3423352232637972,-0.0018093578629598817
original_language_sv,1.3732689722681009,1.3751569002232982,0.0018879279551973216,0.34414458112675705,0.3423400418414888,-0.0018045392852682474
runtime_category_超长,1.3732689722681009,1.3751498876995911,0.001880915431490271,0.34414458112675705,0.34234674921326314,-0.0017978319134939191
original_language_ta,1.3732689722681009,1.3751380095617078,0.0018690372936069899,0.34414458112675705,0.34235811039261455,-0.001786470734142509
main_genre_Science Fiction,1.3732689722681009,1.3751307153811576,0.0018617431130567574,0.34414458112675705,0.34236508706830027,-0.0017794940584567875
original_language_it,1.3732689722681009,1.3750762471174247,0.0018072748493238588,0.34414458112675705,0.34241718323932724,-0.0017273978874298157
main_genre_Fantasy,1.3732689722681009,1.3750368465204104,0.0017678742523095092,0.34414458112675705,0.34245486665423386,-0.001689714472523196
original_language_pt,1.3732689722681009,1.3749734131806084,0.0017044409125075433,0.34414458112675705,0.3425155331329435,-0.0016290479938135816
original_language_sq,1.3732689722681009,1.3749058834729537,0.0016369112048528756,0.34414458112675705,0.3425801142267987,-0.0015644668999583722
main_genre_Crime,1.3732689722681009,1.3748622237505375,0.0015932514824366084,0.34414458112675705,0.342621865904997,-0.0015227152217600626
runtime_category_长片,1.3732689722681009,1.374834834714688,0.001565862446587074,0.34414458112675705,0.34264805729149306,-0.0014965238352639965
original_language_cn,1.3732689722681009,1.3748188569584094,0.0015498846903085894,0.34414458112675705,0.34266333614220845,-0.001481244984548602
main_genre_Mystery,1.3732689722681009,1.3747960964766908,0.001527124208589914,0.34414458112675705,0.3426851007189756,-0.0014594804077814327
original_language_bg,1.3732689722681009,1.374766139458045,0.001497167189944193,0.34414458112675705,0.34271374639262464,-0.0014308347341324135
original_language_ko,1.3732689722681009,1.3747492648879625,0.0014802926198616007,0.34414458112675705,0.34272988201680343,-0.001414699109953621
original_language_he,1.3732689722681009,1.3747230113281368,0.0014540390600359387,0.34414458112675705,0.34275498552627837,-0.001389595600478688
original_language_th,1.3732689722681009,1.3747126604088518,0.0014436881407509095,0.34414458112675705,0.34276488288658646,-0.0013796982401705904
original_language_af,1.3732689722681009,1.37448888189825,0.001219909630149063,0.34414458112675705,0.3429788375976579,-0.0011657435290991502
original_language_pl,1.3732689722681009,1.3744283669185613,0.0011593946504604435,0.34414458112675705,0.3430366900074776,-0.0011078911192794472
original_language_id,1.3732689722681009,1.3744195757476942,0.0011506034795933928,0.34414458112675705,0.34304509416789786,-0.0010994869588591971
original_language_az,1.3732689722681009,1.374402956383458,0.001133984115357256,0.34414458112675705,0.3430609817571735,-0.0010835993695835766
original_language_bn,1.3732689722681009,1.3743764035536394,0.0011074312855385848,0.34414458112675705,0.3430863650283177,-0.0010582160984393685
original_language_fa,1.3732689722681009,1.3743497209005278,0.0010807486324269089,0.34414458112675705,0.3431118719104955,-0.0010327092162615292
original_language_no,1.3732689722681009,1.3742858385117478,0.0010168662436469411,0.34414458112675705,0.34317293731018506,-0.0009716438165719987
