feature,perturbation,base_rmse,perturbed_rmse,rmse_change,base_r2,perturbed_r2,r2_change
main_genre_Romance,0.9,1.3732689722681009,1.376158243490938,0.0028892712228372197,0.34414458112675705,0.34138192115573773,-0.002762659971019321
main_genre_Romance,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Romance,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Science Fiction,0.8,1.3732689722681009,1.3751307153811576,0.0018617431130567574,0.34414458112675705,0.34236508706830027,-0.0017794940584567875
main_genre_Science Fiction,0.9,1.3732689722681009,1.3751307153811576,0.0018617431130567574,0.34414458112675705,0.34236508706830027,-0.0017794940584567875
main_genre_Science Fiction,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Science Fiction,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_TV Movie,0.8,1.3732689722681009,1.375991423487671,0.0027224512195700434,0.34414458112675705,0.34154158885563946,-0.002602992271117599
main_genre_TV Movie,0.9,1.3732689722681009,1.375991423487671,0.0027224512195700434,0.34414458112675705,0.34154158885563946,-0.002602992271117599
main_genre_TV Movie,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_TV Movie,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Thriller,0.8,1.3732689722681009,1.3777282552636196,0.004459282995518787,0.34414458112675705,0.33987827433065065,-0.0042663067961064005
main_genre_Thriller,0.9,1.3732689722681009,1.3777282552636196,0.004459282995518787,0.34414458112675705,0.33987827433065065,-0.0042663067961064005
main_genre_Thriller,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Thriller,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Unknown,0.8,1.3732689722681009,1.3803583433026139,0.0070893710345130145,0.34414458112675705,0.33735551930477037,-0.006789061821986686
main_genre_Unknown,0.9,1.3732689722681009,1.3803583433026139,0.0070893710345130145,0.34414458112675705,0.33735551930477037,-0.006789061821986686
main_genre_Unknown,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Unknown,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_War,0.8,1.3732689722681009,1.3738052360938418,0.0005362638257409014,0.34414458112675705,0.3436322558428796,-0.0005123252838774572
main_genre_War,0.9,1.3732689722681009,1.3738052360938418,0.0005362638257409014,0.34414458112675705,0.3436322558428796,-0.0005123252838774572
main_genre_War,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_War,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Western,0.8,1.3732689722681009,1.3737407295163324,0.0004717572482315635,0.34414458112675705,0.3436938934631468,-0.0004506876636102275
main_genre_Western,0.9,1.3732689722681009,1.3737407295163324,0.0004717572482315635,0.34414458112675705,0.3436938934631468,-0.0004506876636102275
main_genre_Western,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
main_genre_Western,1.2,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
original_language_af,0.8,1.3732689722681009,1.37448888189825,0.001219909630149063,0.34414458112675705,0.3429788375976579,-0.0011657435290991502
original_language_af,0.9,1.3732689722681009,1.37448888189825,0.001219909630149063,0.34414458112675705,0.3429788375976579,-0.0011657435290991502
original_language_af,1.1,1.3732689722681009,1.3732689722681009,0.0,0.34414458112675705,0.34414458112675705,0.0
